# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001//HW_Wk6/sacCer3.sgd.gtf" "-o" "featCounts_Gierlinski_genes.txt" "-t" "exon" "-g" "gene_id" "-f" "--minOverlap" "3" "--primary" "--tmpDir" "/scratchLocal" "/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam
YDR383C	chrIV	1239960	1240676	-	717	514	290	379	527	303	101	289	216	258	256
YDR384C	chrIV	1241204	1242031	-	828	632	484	481	710	338	497	767	572	859	776
YDR385W	chrIV	1243230	1245758	+	2529	3232	2558	2856	2951	2136	1811	2936	2079	3417	3178
YDR386W	chrIV	1246084	1247982	+	1899	383	292	300	460	249	117	217	160	213	181
YDR387C	chrIV	1248154	1249821	-	1668	954	696	681	958	558	377	564	453	786	549
YDR388W	chrIV	1250186	1251634	+	1449	4657	3887	4184	4448	3409	3003	2826	2570	4454	2595
YDR389W	chrIV	1252537	1254501	+	1965	736	608	578	715	518	354	619	445	746	639
YDR390C	chrIV	1254937	1256847	-	1911	1169	928	908	1355	674	453	846	576	906	804
YDR391C	chrIV	1257358	1258056	-	699	974	761	761	951	676	704	677	668	1409	605
YDR392W	chrIV	1258696	1259709	+	1014	843	714	721	899	557	340	467	373	599	454
YDR393W	chrIV	1259901	1261271	+	1371	478	409	335	499	318	227	337	295	464	344
YDR394W	chrIV	1261681	1262967	+	1287	3781	3276	2977	3591	2650	2315	2599	2321	3794	2686
YDR395W	chrIV	1263324	1266158	+	2835	734	658	756	799	560	553	1087	650	1018	1019
YDR396W	chrIV	1266295	1266795	+	501	60	32	32	44	34	19	58	41	74	45
YDR397C	chrIV	1266366	1266769	-	404	0	0	0	0	0	0	0	0	0	0
YDR397C	chrIV	1266862	1266898	-	37	40	31	19	36	19	18	50	42	57	40
YDR398W	chrIV	1267471	1269402	+	1932	782	620	649	770	518	501	1351	612	1033	1576
YDR399W	chrIV	1270068	1270733	+	666	872	706	797	791	741	1451	2525	1738	2996	2898
YDR400W	chrIV	1271063	1272085	+	1023	416	338	336	405	271	182	293	205	357	281
YDR401W	chrIV	1272223	1272786	+	564	0	1	1	1	1	0	0	0	1	0
YDR402C	chrIV	1272234	1273703	-	1470	19	9	8	24	12	6	15	12	14	16
YDR403W	chrIV	1274602	1276212	+	1611	116	77	70	93	62	25	60	43	59	59
YDR404C	chrIV	1276654	1277169	-	516	1010	789	673	1047	641	482	784	711	897	743
YDR405W	chrIV	1277646	1278437	+	792	1415	1119	951	1439	917	757	908	782	1283	957
YDR406W	chrIV	1279210	1283799	+	4590	876	749	653	950	564	1493	2098	2117	2436	1813
YDR406W-A	chrIV	1283799	1284044	+	246	25	6	15	23	2	6	21	33	21	29
YDR407C	chrIV	1284069	1287938	-	3870	883	727	821	1147	495	339	523	468	590	511
YDR408C	chrIV	1288215	1288859	-	645	1553	1453	1323	1586	1296	1284	1176	957	1840	1189
YDR409W	chrIV	1289406	1292120	+	2715	674	553	514	616	471	312	494	332	569	454
YDR410C	chrIV	1292372	1293091	-	720	607	372	400	604	351	158	370	331	407	307
YDR411C	chrIV	1293369	1294394	-	1026	1052	875	810	1011	827	498	682	613	1006	656
YDR412W	chrIV	1294693	1295400	+	708	52	41	48	77	27	29	98	54	57	103
YDR413C	chrIV	1294836	1295411	-	576	2	0	0	1	1	0	1	4	6	4
YDR414C	chrIV	1295598	1296686	-	1089	434	294	321	375	234	151	309	274	326	312
YDR415C	chrIV	1297037	1298161	-	1125	564	535	433	673	393	262	385	384	507	374
YDR416W	chrIV	1298432	1301011	+	2580	498	380	398	531	311	190	381	295	387	308
YDR417C	chrIV	1301555	1301926	-	372	6	6	8	10	9	1	9	9	12	14
YDR418W	chrIV	1301616	1302113	+	498	2325	1945	2136	2546	1781	1157	2207	1660	2676	2058
YDR419W	chrIV	1303174	1305072	+	1899	347	296	302	359	217	148	268	201	278	221
YDR421W	chrIV	1312040	1314892	+	2853	826	700	775	952	554	312	380	352	604	324
YDR422C	chrIV	1315326	1317773	-	2448	680	589	531	687	408	342	560	383	630	526
YDR423C	chrIV	1318046	1319275	-	1230	871	855	739	942	655	348	437	435	655	437
YDR424C	chrIV	1319387	1319617	-	231	540	478	445	679	460	245	275	234	453	267
YDR424C	chrIV	1319698	1319720	-	23	8	6	4	9	4	4	6	3	8	6
YDR424C	chrIV	1319817	1319841	-	25	13	11	8	19	6	2	6	6	9	12
YDR425W	chrIV	1320064	1321941	+	1878	466	297	261	417	226	170	286	238	381	231
YDR426C	chrIV	1321629	1322006	-	378	10	1	2	3	1	0	1	1	0	1
YDR427W	chrIV	1322205	1323386	+	1182	2002	1312	1306	1960	1122	622	1299	1237	1667	1201
YDR428C	chrIV	1323454	1324239	-	786	362	235	238	286	257	142	325	268	391	343
YDR429C	chrIV	1324477	1325301	-	825	4081	3323	3695	4611	2702	2341	3741	2790	4025	4031
YDR430C	chrIV	1325501	1328470	-	2970	980	809	798	1053	590	575	792	794	1015	776
YDR431W	chrIV	1328390	1328701	+	312	4	2	0	6	0	0	1	3	3	2
YDR432W	chrIV	1328783	1330027	+	1245	4131	3137	3184	3849	2256	2230	2632	2283	3520	2648
YDR433W	chrIV	1329600	1330040	+	441	23	11	23	16	12	7	20	14	14	16
YDR434W	chrIV	1331237	1332841	+	1605	1242	981	994	1300	711	500	751	657	974	733
YDR435C	chrIV	1332983	1333969	-	987	1087	953	963	1110	719	535	599	557	1087	530
YDR436W	chrIV	1334821	1336953	+	2133	1471	1266	1144	1497	860	596	642	587	935	570
YDR437W	chrIV	1337352	1337774	+	423	82	80	62	80	53	55	84	51	82	75
YDR438W	chrIV	1338274	1339386	+	1113	424	305	296	357	261	153	273	200	320	258
YDR439W	chrIV	1339676	1340719	+	1044	265	235	226	284	199	145	250	175	274	263
YDR440W	chrIV	1342493	1344241	+	1749	506	318	372	452	309	225	412	291	406	420
YDR441C	chrIV	1344517	1345062	-	546	459	288	309	435	273	199	470	357	503	445
YDR442W	chrIV	1345647	1346039	+	393	13	9	8	11	7	0	5	4	8	7
YDR443C	chrIV	1345676	1349938	-	4263	556	555	467	554	309	271	346	293	428	320
YDR444W	chrIV	1350290	1352353	+	2064	490	386	355	531	261	169	450	259	345	463
YDR445C	chrIV	1352182	1352589	-	408	1	0	1	0	0	0	1	0	1	1
YDR446W	chrIV	1353725	1354633	+	909	7	1	1	8	4	2	8	4	6	5
YDR447C	chrIV	1354829	1355236	-	408	5015	3949	4259	5364	3438	2648	5292	3762	6088	4961
YDR447C	chrIV	1355551	1355553	-	3	7	5	7	11	6	4	26	6	10	18
YDR448W	chrIV	1356065	1357369	+	1305	319	343	334	436	211	178	195	152	233	261
YDR449C	chrIV	1357580	1358902	-	1323	151	87	119	135	107	79	300	142	191	360
YDR450W	chrIV	1359923	1359969	+	47	485	412	310	483	408	428	629	413	774	721
YDR450W	chrIV	1360405	1360798	+	394	9366	7668	8052	9722	6929	5939	9350	6759	11273	9496
YDR451C	chrIV	1361120	1362181	-	1062	331	286	272	358	278	263	267	290	372	324
YDR452W	chrIV	1362878	1364902	+	2025	3915	3296	3579	4400	2452	1201	1588	1376	2125	1541
YDR453C	chrIV	1365072	1365662	-	591	346	241	266	340	221	184	201	312	488	161
YDR454C	chrIV	1366264	1366827	-	564	2133	1671	1790	2191	1508	1025	1876	1367	2133	1777
YDR455C	chrIV	1367373	1367681	-	309	3	3	0	1	1	0	0	1	0	2
YDR456W	chrIV	1367485	1369386	+	1902	1655	1285	1343	1869	1071	502	805	666	896	740
YDR457W	chrIV	1369790	1379596	+	9807	2309	2088	2177	2741	1632	1276	1652	1294	2096	1629
YDR458C	chrIV	1380055	1382046	-	1992	858	603	725	909	445	249	538	395	562	472
YDR459C	chrIV	1382319	1383443	-	1125	669	488	442	591	387	183	351	263	412	317
YDR460W	chrIV	1383811	1384776	+	966	793	669	611	824	473	263	374	326	451	430
YDR461W	chrIV	1385176	1385286	+	111	465	421	342	468	362	424	851	664	806	836
YDR461C-A	chrIV	1385524	1385766	-	243	471	359	297	527	393	173	157	182	249	148
YDR462W	chrIV	1386073	1386516	+	444	525	418	401	514	376	273	409	384	566	355
YDR463W	chrIV	1386816	1388375	+	1560	1007	842	837	1100	687	404	578	425	772	523
YDR464W	chrIV	1388872	1393179	+	4308	632	551	526	699	326	237	530	323	436	530
YDR464C-A	chrIV	1392492	1392680	-	189	0	0	0	0	0	0	0	0	0	0
YDR465C	chrIV	1393336	1394574	-	1239	1067	864	887	1217	666	570	1216	736	1089	1358
YDR466W	chrIV	1395121	1397817	+	2697	962	790	709	1043	569	363	686	444	750	627
YDR467C	chrIV	1397583	1397909	-	327	77	45	43	76	35	20	47	45	52	34
YDR468C	chrIV	1398026	1398700	-	675	839	691	692	828	570	369	539	465	716	495
YDR469W	chrIV	1399015	1399542	+	528	557	541	429	658	437	233	352	326	498	382
YDR470C	chrIV	1399706	1401214	-	1509	582	420	426	583	370	285	452	344	491	402
YDR471W	chrIV	1401770	1401800	+	31	23	35	30	37	28	13	50	31	55	67
YDR471W	chrIV	1402185	1402564	+	380	5993	5544	5415	6215	4654	3758	5649	4113	6888	6126
YDR472W	chrIV	1403322	1404173	+	852	574	399	424	504	430	234	455	375	441	442
YDR473C	chrIV	1404445	1405854	-	1410	442	413	497	611	304	169	277	184	354	258
YDR475C	chrIV	1407464	1410094	-	2631	1536	1267	1230	1588	910	722	834	640	1178	779
YDR476C	chrIV	1410453	1411127	-	675	2735	2281	2104	2429	2056	1316	1251	1118	2148	1528
YDR477W	chrIV	1412373	1414274	+	1902	1764	1198	1167	1672	946	902	1207	1102	1625	1110
YDR478W	chrIV	1414575	1415171	+	597	98	85	78	108	77	47	82	69	100	88
YDR479C	chrIV	1415210	1416874	-	1665	1812	1309	1377	1747	1066	629	829	778	1137	728
YDR480W	chrIV	1417399	1418370	+	972	535	430	387	584	358	168	247	234	312	225
YDR481C	chrIV	1418550	1420250	-	1701	2090	1873	1782	2112	1534	2005	2373	2018	3441	2362
YDR482C	chrIV	1420431	1420838	-	408	784	742	668	869	663	600	489	449	765	560
YDR483W	chrIV	1421157	1422485	+	1329	3877	3132	3198	4047	2568	1798	2895	2285	3978	2509
YDR484W	chrIV	1422763	1424688	+	1926	378	294	264	436	249	142	292	233	283	249
YDR485C	chrIV	1424820	1427207	-	2388	974	675	806	1070	607	331	602	435	657	611
YDR486C	chrIV	1427431	1428120	-	690	976	894	771	1045	716	424	524	537	840	587
YDR487C	chrIV	1428354	1428980	-	627	3401	2876	2712	3023	2445	1730	1861	1658	2859	2148
YDR488C	chrIV	1429188	1430789	-	1602	358	292	271	321	200	255	249	204	333	264
YDR489W	chrIV	1431012	1431896	+	885	451	319	285	377	276	141	268	233	306	208
YDR490C	chrIV	1431968	1434268	-	2301	1014	918	939	1202	677	443	550	524	709	559
YDR491C	chrIV	1434500	1434991	-	492	79	34	34	62	24	20	83	55	53	65
YDR492W	chrIV	1434924	1435874	+	951	1002	629	466	988	500	440	1288	787	928	1208
YDR493W	chrIV	1436217	1436588	+	372	216	164	147	213	162	117	164	137	203	161
YDR494W	chrIV	1436930	1438015	+	1086	888	599	603	958	509	320	603	562	714	594
YDR495C	chrIV	1438115	1441150	-	3036	452	267	331	440	230	128	327	263	348	285
YDR497C	chrIV	1443713	1445467	-	1755	8439	6423	6075	8402	4741	5131	4679	4156	7566	5180
YDR498C	chrIV	1445843	1446994	-	1152	884	607	618	885	595	276	497	355	547	454
YDR499W	chrIV	1447830	1450073	+	2244	478	363	420	589	306	165	266	210	310	270
YDR500C	chrIV	1450198	1450457	-	260	7725	6153	6697	7606	6011	4607	6844	4989	8128	7516
YDR500C	chrIV	1450847	1450853	-	7	5	2	2	4	2	1	7	1	2	8
YDR501W	chrIV	1451353	1452918	+	1566	106	81	92	103	61	66	98	61	109	80
YDR502C	chrIV	1453310	1454464	-	1155	2276	1795	1812	2167	1272	2004	1618	1395	2394	1852
YDR503C	chrIV	1455042	1455866	-	825	441	376	299	403	300	136	193	191	296	175
YDR504C	chrIV	1456311	1456694	-	384	131	17	68	79	52	15	51	66	57	47
YDR505C	chrIV	1456695	1459220	-	2526	1168	741	822	1043	541	466	675	622	895	513
YDR506C	chrIV	1459728	1461554	-	1827	517	456	370	515	344	173	202	208	273	174
YDR507C	chrIV	1462358	1465786	-	3429	1208	884	1010	1345	811	320	547	413	650	612
YDR508C	chrIV	1466453	1468444	-	1992	3116	1970	2033	3166	1539	1334	2495	1646	1883	2566
YDR509W	chrIV	1468226	1468573	+	348	1	1	1	0	0	1	2	4	2	1
YDR510W	chrIV	1469400	1469705	+	306	2230	1975	2128	2575	1631	976	1171	1080	1604	1162
YDR510C-A	chrIV	1469695	1469811	-	117	226	142	130	282	121	53	109	125	135	85
YDR511W	chrIV	1470017	1470418	+	402	422	315	279	440	299	160	209	209	362	185
YDR512C	chrIV	1470500	1471063	-	564	553	509	426	637	444	161	253	224	341	208
YDR513W	chrIV	1471017	1471448	+	432	1812	1288	1280	1745	1177	725	1114	1164	1686	984
YDR514C	chrIV	1471548	1472999	-	1452	375	317	371	420	291	174	372	244	295	430
YDR515W	chrIV	1473429	1474772	+	1344	267	184	178	270	112	132	249	220	248	245
YDR516C	chrIV	1474974	1476476	-	1503	9597	7773	7091	9204	5817	8361	7029	9175	13863	6268
YDR517W	chrIV	1477239	1478357	+	1119	4023	3716	3289	3973	2576	1673	1687	1673	2669	1567
YDR518W	chrIV	1478608	1480161	+	1554	1309	1056	974	1293	847	409	607	459	766	642
YDR519W	chrIV	1480425	1480832	+	408	865	727	745	928	596	373	502	458	732	506
YDR520C	chrIV	1481085	1483403	-	2319	326	260	265	324	220	97	241	168	239	219
YDR521W	chrIV	1483141	1483476	+	336	4	0	0	3	2	0	1	1	0	3
YDR522C	chrIV	1483795	1485303	-	1509	105	37	47	83	41	20	70	41	59	64
YDR523C	chrIV	1485566	1487038	-	1473	52	37	38	47	38	17	121	39	32	118
YDR524C	chrIV	1487542	1488990	-	1449	653	486	382	641	370	252	566	400	562	477
YDR524W-C	chrIV	1489403	1489492	+	90	5758	1705	3987	6091	1896	723	3724	3243	3578	3036
YDR524C-B	chrIV	1489598	1489798	-	201	41463	30419	29500	42705	31739	21913	26846	21646	37834	34095
YDR524C-A	chrIV	1489871	1489990	-	120	7	9	7	5	3	0	3	3	0	1
YDR525W	chrIV	1489905	1490234	+	330	11	4	4	10	5	3	3	2	3	2
YDR525W-A	chrIV	1490596	1490835	+	240	785	518	477	884	494	125	230	247	329	198
YDR526C	chrIV	1491075	1491545	-	471	2	0	4	9	3	1	4	1	0	3
YDR527W	chrIV	1491094	1492413	+	1320	682	602	614	781	564	273	510	355	570	566
YDR528W	chrIV	1494586	1495857	+	1272	266	242	241	291	236	71	98	77	135	117
YDR529C	chrIV	1496165	1496548	-	384	1248	932	840	1316	859	512	644	722	1035	605
YDR530C	chrIV	1496791	1497768	-	978	1439	1140	1128	1300	955	641	681	707	1032	695
YDR531W	chrIV	1498232	1499335	+	1104	1118	772	762	1142	645	429	723	503	878	619
YDR532C	chrIV	1499396	1500553	-	1158	367	213	255	437	211	92	211	160	240	176
YDR533C	chrIV	1501447	1502160	-	714	294	235	227	319	195	152	243	218	340	195
YDR534C	chrIV	1503314	1504900	-	1587	983	812	912	1114	789	601	670	544	993	611
YDR535C	chrIV	1506606	1507058	-	453	33	21	21	27	14	5	13	13	11	10
YDR535C	chrIV	1507315	1507362	-	48	21	15	7	15	8	2	2	6	6	6
YDR536W	chrIV	1508005	1509714	+	1710	295	173	174	240	156	60	112	95	113	99
YDR537C	chrIV	1510856	1511461	-	606	7	4	4	4	4	1	5	6	1	4
YDR538W	chrIV	1510902	1511630	+	729	95	74	50	103	56	30	64	53	63	57
YDR539W	chrIV	1512094	1513605	+	1512	648	503	531	702	392	403	481	415	644	433
YDR540C	chrIV	1517136	1517675	-	540	108	64	57	121	47	41	63	64	82	40
YDR541C	chrIV	1519664	1520698	-	1035	555	458	470	553	390	186	270	259	352	242
YDR542W	chrIV	1523249	1523611	+	363	0	2	1	0	2	1	0	0	1	0
YDR543C	chrIV	1524634	1524933	-	300	0	0	0	0	0	0	0	0	0	0
YDR544C	chrIV	1525095	1525523	-	429	0	0	0	0	0	0	1	0	0	0
YDR545W	chrIV	1526321	1531711	+	5391	0	0	0	0	0	0	0	0	0	0
YDR545C-A	chrIV	1530863	1531342	-	480	0	0	0	0	0	0	0	0	0	0
YIL122W	chrIX	130610	131665	+	1056	809	573	529	770	553	195	456	260	413	420
YIL048W	chrIX	261437	264892	+	3456	1310	998	966	1413	762	495	839	729	997	715
YIR019C	chrIX	389572	393675	-	4104	361	306	234	371	240	130	139	137	162	130
YIL177C	chrIX	483	4598	-	4116	0	0	0	0	0	0	0	0	0	0
YIL177C	chrIX	4987	6147	-	1161	0	0	0	0	0	0	0	0	0	0
YIL177W-A	chrIX	846	1328	+	483	0	0	0	0	0	0	0	0	0	0
YIL176C	chrIX	8793	9155	-	363	0	0	0	0	0	0	0	0	0	0
YIL173W	chrIX	11492	16141	+	4650	50	38	29	53	30	16	14	21	32	18
YIL172C	chrIX	16784	18553	-	1770	0	0	0	0	0	0	0	0	0	0
YIL171W-A	chrIX	18260	18712	+	453	0	0	0	0	0	0	0	0	0	0
YIL169C	chrIX	23119	26106	-	2988	392	393	375	379	264	1919	1804	1623	2406	2091
YIL166C	chrIX	30938	32566	-	1629	205	146	146	192	119	51	134	104	180	110
YIL165C	chrIX	33718	34077	-	360	379	341	272	409	270	208	161	195	362	167
YIL164C	chrIX	34087	34686	-	600	372	376	315	389	211	262	217	208	327	194
YIL163C	chrIX	36899	37252	-	354	65	43	50	77	44	14	31	28	37	26
YIL162W	chrIX	37385	38983	+	1599	1875	1336	1188	1617	998	1311	1083	1559	1681	1021
YIL161W	chrIX	39433	40140	+	708	329	204	257	376	206	94	255	215	218	215
YIL160C	chrIX	40191	41444	-	1254	167	90	117	170	79	73	144	121	137	151
YIL159W	chrIX	41825	45952	+	4128	323	218	287	359	206	102	151	101	162	179
YIL158W	chrIX	46201	46815	+	615	454	311	249	475	287	222	493	344	425	566
YIL157C	chrIX	46949	47542	-	594	629	497	483	586	377	258	372	392	556	330
YIL156W-A	chrIX	47292	47693	+	402	3	1	2	6	2	2	0	0	3	1
YIL156W-B	chrIX	47690	47698	+	9	3	3	0	2	2	1	3	2	2	1
YIL156W-B	chrIX	47761	47973	+	213	653	607	497	685	513	218	293	256	426	227
YIL156W	chrIX	48091	51306	+	3216	818	703	715	1000	529	391	520	433	600	479
YIL155C	chrIX	51759	53708	-	1950	3031	2419	2161	3028	1425	1740	1474	1522	2098	1179
YIL154C	chrIX	53981	55021	-	1041	3334	3058	3034	3229	2700	1973	1372	1323	2687	1450
YIL153W	chrIX	55198	56379	+	1182	2313	2009	1894	2262	1513	1172	1009	896	1569	1015
YIL152W	chrIX	56545	57252	+	708	486	389	331	483	336	265	288	301	508	261
YIL151C	chrIX	57338	60694	-	3357	1057	795	815	1145	685	485	855	576	884	826
YIL150C	chrIX	61013	62728	-	1716	102	59	86	104	32	33	117	59	99	85
YIL149C	chrIX	63028	68067	-	5040	1571	1273	1430	1920	899	609	1350	893	1223	1177
YIL148W	chrIX	68708	68715	+	8	1	0	2	7	3	1	2	1	1	2
YIL148W	chrIX	69150	69528	+	379	11120	9807	9580	11342	9145	5984	10147	7693	12915	10786
YIL147C	chrIX	69791	73453	-	3663	1182	1033	1146	1447	756	554	670	526	830	790
YIL146C	chrIX	74184	75773	-	1590	338	220	222	299	169	122	165	113	189	158
YIL145C	chrIX	76354	77283	-	930	1250	1062	1037	1225	894	757	946	756	1271	971
YIL144W	chrIX	78074	80149	+	2076	718	445	545	809	395	175	348	310	409	350
YIL143C	chrIX	80510	83041	-	2532	1199	801	848	1014	657	421	866	607	865	817
YIL142C-A	chrIX	83208	83540	-	333	0	0	1	0	0	0	0	0	0	0
YIL142W	chrIX	83302	84885	+	1584	3850	3358	3436	3871	2707	2386	2689	2193	3561	3222
YIL141W	chrIX	85053	85442	+	390	25	16	12	11	6	6	9	8	9	9
YIL140W	chrIX	85366	87837	+	2472	1399	917	860	1293	822	365	546	548	781	561
YIL139C	chrIX	87979	88716	-	738	294	175	204	320	169	79	197	157	208	195
YIL138C	chrIX	89230	89715	-	486	990	677	886	1144	572	328	682	547	719	614
YIL137C	chrIX	89948	92788	-	2841	1279	1068	1096	1363	796	644	922	664	1131	848
YIL136W	chrIX	93619	94800	+	1182	3340	2773	2850	3646	1956	1594	1159	1503	2330	1022
YIL135C	chrIX	95065	96375	-	1311	1635	1242	1161	1602	1043	681	895	762	1188	891
YIL134C-A	chrIX	96522	96725	-	204	4	4	10	9	4	5	4	5	14	10
YIL134W	chrIX	97395	98330	+	936	248	220	219	252	225	156	232	209	313	227
YIL133C	chrIX	98527	99095	-	569	6789	5371	6425	6936	4645	3656	6696	5122	7638	6422
YIL133C	chrIX	99386	99416	-	31	18	10	15	13	11	14	24	14	34	23
YIL132C	chrIX	99860	100501	-	642	121	71	75	115	77	33	78	64	79	59
YIL131C	chrIX	100781	102235	-	1455	234	188	206	293	150	141	286	190	245	293
YIL130W	chrIX	102782	105676	+	2895	628	392	390	670	389	141	380	223	307	356
YIL129C	chrIX	106107	113237	-	7131	1535	1467	1418	1841	1011	735	955	811	1264	944
YIL128W	chrIX	113806	116904	+	3099	714	507	520	776	407	272	620	452	615	549
YIL127C	chrIX	117024	117644	-	621	308	182	210	335	155	155	560	350	401	667
YIL126W	chrIX	117992	122071	+	4080	2197	1603	2073	2561	1271	771	1454	1064	1455	1375
YIL125W	chrIX	122689	125733	+	3045	2555	1978	1915	2535	1553	1196	1390	1381	2246	1158
YIL124W	chrIX	126204	127097	+	894	2832	2286	2040	2776	1885	1258	1410	1388	2288	1333
YIL123W	chrIX	128151	129581	+	1431	3904	3454	3207	4148	2450	3302	3995	3098	4826	4035
YIL121W	chrIX	132244	133872	+	1629	301	253	234	329	230	1006	1291	1227	1752	1336
YIL120W	chrIX	134417	136108	+	1692	331	240	257	357	158	132	229	195	300	222
YIL119C	chrIX	136654	137877	-	1224	179	90	107	140	92	194	584	460	572	587
YIL118W	chrIX	139752	140447	+	696	1518	1150	934	1449	967	510	926	791	972	901
YIL117C	chrIX	140613	141569	-	957	2799	2192	1926	2739	1569	648	875	1103	1531	783
YIL116W	chrIX	142928	144085	+	1158	1405	1134	1164	1414	943	599	661	688	1185	570
YIL115W-A	chrIX	144268	144639	+	372	12	7	10	12	2	1	10	6	8	7
YIL115C	chrIX	144327	148709	-	4383	1494	1251	1325	1661	862	628	974	717	932	885
YIL114C	chrIX	149143	149988	-	846	784	637	594	727	555	342	575	440	741	533
YIL113W	chrIX	150559	151188	+	630	265	241	235	290	167	268	294	269	495	242
YIL112W	chrIX	151595	154846	+	3252	1587	1226	1261	1793	834	558	878	796	1108	838
YIL111W	chrIX	155222	155222	+	1	0	0	0	0	0	0	0	0	0	0
YIL111W	chrIX	155311	155765	+	455	1486	1042	846	1508	905	410	739	801	1252	598
YIL110W	chrIX	156045	157178	+	1134	353	302	300	313	208	192	376	221	339	364
YIL109C	chrIX	157385	160165	-	2781	3718	3067	3076	3881	2323	2110	2525	2114	3248	2514
YIL108W	chrIX	160887	162977	+	2091	1281	1012	983	1299	708	674	795	635	984	744
YIL107C	chrIX	163278	165761	-	2484	1170	860	810	1349	623	401	526	576	833	546
YIL106W	chrIX	166415	166434	+	20	5	3	2	0	3	0	1	2	2	5
YIL106W	chrIX	166520	167444	+	925	1117	854	808	1236	672	501	662	520	753	575
YIL105C	chrIX	167581	169641	-	2061	1002	761	675	1057	588	423	658	503	777	594
YIL105W-A	chrIX	167664	167804	+	141	0	0	0	0	0	0	0	0	0	0
YIL104C	chrIX	169982	171505	-	1524	186	135	132	175	111	82	236	125	177	271
YIL103W	chrIX	171751	173028	+	1278	338	284	283	360	241	167	419	258	362	459
YIL102C-A	chrIX	173365	173592	-	228	149	112	89	152	93	41	69	84	102	80
YIL102C	chrIX	174582	174887	-	306	22	18	18	20	23	7	12	10	18	11
YIL101C	chrIX	175307	177250	-	1944	619	515	405	640	330	681	628	649	981	474
YIL100C-A	chrIX	177343	177681	-	339	11	9	10	9	5	10	9	6	2	6
YIL100W	chrIX	177373	177726	+	354	3	1	2	2	1	0	0	1	5	4
YIL099W	chrIX	178004	179653	+	1650	203	150	155	194	112	185	99	109	211	99
YIL098C	chrIX	179772	180239	-	468	433	357	337	437	307	203	322	276	452	320
YIL097W	chrIX	180427	181977	+	1551	441	309	276	440	204	160	290	255	372	233
YIL096C	chrIX	182117	183127	-	1011	151	73	85	145	79	53	202	117	140	233
YIL095W	chrIX	183937	186369	+	2433	735	504	536	725	416	236	389	362	547	376
YIL094C	chrIX	186517	187632	-	1116	1763	1555	1399	1629	1190	1756	2569	1844	3105	2371
YIL093C	chrIX	187990	188784	-	795	513	522	432	518	402	364	414	419	537	453
YIL092W	chrIX	189066	190967	+	1902	202	146	181	219	144	89	191	112	185	217
YIL091C	chrIX	191030	193195	-	2166	170	126	135	169	113	124	453	192	227	494
YIL090W	chrIX	193595	195070	+	1476	694	467	495	689	371	224	573	386	508	526
YIL089W	chrIX	195599	196216	+	618	123	88	69	112	68	28	59	71	85	51
YIL088C	chrIX	197931	199403	-	1473	2328	1817	1801	2479	1445	981	1143	1147	1790	1071
YIL087C	chrIX	199646	200119	-	474	712	564	428	758	507	305	355	339	579	274
YIL086C	chrIX	200153	200461	-	309	43	36	22	63	44	14	42	29	40	25
YIL085C	chrIX	200490	202043	-	1554	1187	955	1021	1359	766	565	947	726	971	833
YIL084C	chrIX	202276	203259	-	984	239	215	265	248	161	160	216	162	241	226
YIL083C	chrIX	203556	204653	-	1098	806	599	574	812	547	343	606	423	676	653
YIL082W-A	chrIX	205635	206485	+	851	0	0	0	0	0	0	0	0	0	0
YIL082W-A	chrIX	206487	210132	+	3646	282	230	252	262	173	125	191	123	210	146
